Name,Session Date,Session2,Facilitator,Grade Level Band,Content Focus,Campus Name,"The format, layout, and supports embedded in the session made it easy to understand.",The session provided me with valuable information. ,The session was engaging and interactive. ,I feel confident about my ability to apply the knowledge from this session. ,"Based on today's learning, I am ready to teach summer school.",List at least one key learning from today's session and how it will support instruction during summer school.,Additional Comments:,Last modified time
Participant 1179,6/9/2025,Teacher  Summer School G3-G8 Curriculum  ,Angel,Elementary ,Mathematics,Campus B,5,5,5,5,5,The Zearn and Amira overview was very impactful and will allow me to better support students during summer school instruction. ,This Zearn and Amira overview should be given during the regular school PD's.,
Participant 1236,6/9/2025,Teacher  Summer School G1 and G2 Curriculum,Jessica,Elementary ,ELAR/English,Campus B,5,5,5,5,5,Navigating the summer curr guide source and intervention platforms for gr 1 and 2.,The presenters were very engaging and provided us with clear information/feedback to have a successful summer session. ,
Participant 1038,6/9/2025,Teacher  Summer School G3-G8 Curriculum  ,Angel,Elementary ,Reading Academies,Campus B,5,5,5,5,5,Utilizing Amira ,N/A,
Participant 1168,6/9/2025,Teacher  Summer School G1 and G2 Curriculum,Andi,Elementary ,Mathematics,Campus B,4,4,4,4,4,Reports available to us,,
Participant 1046,6/9/2025,Teacher  Summer School G3-G8 Curriculum  ,Angel,Elementary ,ELAR/English,Campus A,5,5,5,5,5,"Amira is a support for learning. Also, the slide decks and curriculum are provided for easy access and implementation.",Both presentations were extremely helpful.,
Participant 1048,6/9/2025,Teacher  Summer School G3-G8 Curriculum  ,Angel,Elementary ,ELAR/English,Campus A,5,5,4,4,4,"The resources were great, and they showed where to find things.",Na,
Participant 1150,6/9/2025,Teacher  Summer School G3-G8 Curriculum  ,Angel,Elementary ,Social Studies,Campus A,4,4,4,4,4,Amira,,
Participant 1208,6/9/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,ELAR/English,Campus Z,4,4,4,4,4,Slide deck,,
Participant 1230,6/9/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Mathematics,Campus Z,5,5,5,5,5,Accessing content,,
Participant 1216,6/9/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,ELAR/English,Campus Z,5,5,5,5,5,Curriculum Internalization,,
Participant 1217,6/9/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Mathematics,Campus Z,5,5,5,5,5,Accessing the summer curriculum ,,
Participant 1221,6/9/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Social Studies,Campus Z,4,4,4,3,4,Where to find curriculum ,Great,
Participant 1207,6/9/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,ELAR/English,Campus S,5,5,5,5,5,On track,,
Participant 1218,6/9/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Mathematics,Campus S,5,5,5,5,5,curriculum content was helpful,,
Participant 1238,6/9/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Mathematics,Campus S,4,4,5,4,5,We were able to go through the different semesters for our content and had the chance to ask questions about different resources ,,
Participant 1286,6/9/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Science,Campus S,5,5,5,5,5,Adequate information and guide how to get through objectives to be taught and mastered by students,Awesome presentation,
Participant 1215,6/9/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Admin,Campus K,5,5,5,5,5,Keys and help to assist in instruciton,,
