Name,Session Date,Session2,Facilitator,Grade Level Band,Content Focus,Campus Name,"The format, layout, and supports embedded in the session made it easy to understand.",The session provided me with valuable information. ,The session was engaging and interactive. ,I feel confident about my ability to apply the knowledge from this session. ,"Based on today's learning, I am ready to teach summer school.",List at least one key learning from today's session and how it will support instruction during summer school.,Additional Comments:,Last modified time
Participant 631,6/6/2025,Teacher  Summer School G1 and G2 Curriculum,Mary,Elementary ,ELAR/English,Campus O,4,4,4,4,4,Zearn,NA,
Participant 638,6/6/2025,Teacher  Summer School G1 and G2 Curriculum,Bre,Elementary ,Mathematics,Campus O,4,4,4,4,5,Going to be easy.,,
Participant 684,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Elementary ,ELAR/English,Campus O,5,5,5,5,5,How to use Amira,,
Participant 947,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kristina,Elementary ,ELAR/English,Campus O,5,5,5,5,5,Amira Implementation,,
Participant 775,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Elementary ,ELAR/English,Campus O,5,5,5,5,5,Amira and Zearn information,NA,
Participant 730,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Middle ,Social Studies,Campus D,5,5,5,5,5,Documentation and High Quality Instruction is important for summer school,,
Participant 788,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Middle ,Art of Thinking,Campus D,4,4,4,4,4,How to utilize Zearn ,,
Participant 982,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Middle ,ELAR/English,Campus D,5,5,5,5,5,NA,NA,
Participant 1021,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Middle ,Middle school Learning Coach ,Campus D,5,5,5,5,5,How to better assist students with Amplify,N/A,
Participant 650,6/6/2025,Teacher  Summer School G1 and G2 Curriculum,Bre,Elementary ,Social Studies,Campus P,5,5,5,5,5,"Finding the curriculum, Amira ",,
Participant 956,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Elementary ,Mathematics,Campus P,4,5,3,3,3,How to using the Canvas program,,
Participant 930,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kristina,Elementary ,Art of Thinking,Campus P,4,4,4,4,4,Amira,,
Participant 944,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kristina,Elementary ,ELAR/English,Campus P,5,5,5,5,5,I learned how Amira works and how we can manipulate it for students' progress.,,
Participant 954,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kristina,Elementary ,ELAR/English,Campus P,5,5,5,5,5,Monitor students' progress through Amira.,,
Participant 689,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Andi,Elementary ,ELAR/English,Campus P,5,5,5,5,5,AMIRA,,
Participant 784,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Elementary ,Mathematics,Campus P,5,4,4,4,4,Documenting 1416 student hours ,,
Participant 933,6/6/2025,Teacher  Summer School G1 and G2 Curriculum,Bre,Elementary ,Science,Campus R,5,5,5,4,4,How to find needed resources.,,
Participant 610,6/6/2025,Teacher  Summer School G1 and G2 Curriculum,Mary,Elementary ,Summer ,Campus R,5,5,5,5,5,Amira,,
Participant 632,6/6/2025,Teacher  Summer School G1 and G2 Curriculum,Bre,Elementary ,summer,Campus R,5,5,5,5,5,amira,,
Participant 781,6/6/2025,Teacher  Summer School G1 and G2 Curriculum,Andi,Elementary ,Science,Campus M,5,5,5,5,5,Reading and Math resources.,,
Participant 1025,6/6/2025,Summer School Training for Teachers of PreK ,Randy,Elementary ,ELAR/English,Campus M,5,5,5,5,5,Excellent ,Excellent ,
Participant 720,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Middle ,ELAR/English,Campus G,4,4,3,4,4,Learning the basics of Boost,,
Participant 733,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Middle ,Social Studies,Campus G,4,5,5,3,3,Introduction to Boost was phenomenal.  ,,
Participant 1004,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Middle ,Mathematics,Campus G,5,5,5,5,5,Amira and Zearn enrichment/resources,Very informative ,
Participant 1011,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Middle ,Mathematics,Campus G,5,5,5,5,5,Amira/Zearn,,
Participant 1017,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Middle ,Mathematics,Campus G,5,5,5,5,5,Zearn and Amira Resources ,Very Information,
Participant 635,6/6/2025,Teacher  Summer School G1 and G2 Curriculum,Bre,Middle ,ELAR/English,Campus G,4,4,4,4,4,Summer school curriculum tools,none,
Participant 952,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Morris,Middle ,ELAR/English,Campus G,5,5,5,5,5,Boost is a great tool. ,,
Participant 690,6/6/2025,Teacher  Summer School GK Curriculum  ,Dana,Elementary ,ELAR/English,Campus O,4,4,4,4,4,Thanks,,
Participant 695,6/6/2025,Teacher  Summer School GK Curriculum  ,Angela,Elementary ,ELAR/English,Campus O,5,5,5,5,5,Summit ,,
Participant 783,6/6/2025,Teacher  Summer School GK Curriculum  ,Randy,Elementary ,Assistant Principal,Campus O,5,5,5,5,5,curriculum pieces and key dates,,
Participant 852,6/6/2025,Summer School Training for Teachers of PreK ,Claudia,Elementary ,All content ,Campus O,5,5,5,5,5,Schedule,,
Participant 853,6/6/2025,Summer School Training for Teachers of PreK ,Randy,Elementary ,PK summer school,Campus O,5,5,5,5,5,Intervention and curriculum expectations ,,
Participant 869,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Science,Campus V,5,5,5,5,5,DOL grading ,,
Participant 876,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Social Studies,Campus V,2,3,4,2,1,"I will only enter one summative grade per week for all DOLs, so I need a different document to track grades in. ",,
Participant 877,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,ELAR/English,Campus V,5,5,5,5,5,Utilize resources ,,
Participant 878,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,ELAR/English,Campus V,4,4,4,4,4,All of the resources will enhance planning. ,,
Participant 909,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,ELAR/English,Campus V,5,5,5,5,5,Utilize resources ,,
Participant 922,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,ELAR/English,Campus V,5,5,5,5,4,Content support,None,
Participant 855,6/6/2025,Summer School Training for Teachers of PreK ,Claudia,Elementary ,Prek summer school training,Campus O,4,4,4,4,4,Explanation of the curriculum guide,n/a,
Participant 859,6/6/2025,Summer School Training for Teachers of PreK ,Gabi,Elementary ,prek kinder,Campus O,4,4,4,4,4,awesome,,
Participant 915,6/6/2025,Teacher  Summer School GK Curriculum  ,Kim,Elementary ,ELAR/English,Campus O,5,5,5,5,5,So many resources ,Love the support and patience. ,
Participant 637,6/6/2025,Teacher  Summer School G1 and G2 Curriculum,Bre,Elementary ,ELAR/English,Campus O,5,5,5,5,5,The summer school schedule and how to implement Zearn.,,
Participant 928,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kristina,Elementary ,ELAR/English,Campus O,5,5,5,4,4,N/A,,
Participant 983,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Elementary ,Mathematics,Campus O,5,5,5,5,5,Zearn Tracker,,
Participant 989,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Elementary ,Science,Campus O,5,5,5,5,5,"I learned that Science will not have LSAE, but 60 minutes of Science instruction and 30 minutes of Zearn daily.",,
Participant 734,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Elementary ,ELAR/English,Campus P,5,5,5,5,5,Amira,,
Participant 833,6/6/2025,Teacher  Summer School G1 and G2 Curriculum,Bre,Elementary ,ELAR/English,Campus P,5,5,5,5,5,Zearn you can track how many lessons and give interventions,,
Participant 701,6/6/2025,Teacher  Summer School GK Curriculum  ,Dana,Elementary ,summer school,Campus P,4,4,4,3,3,where to find resources,,
Participant 708,6/6/2025,Teacher  Summer School GK Curriculum  ,Dana,Elementary ,Summer School Curriculum,Campus P,3,4,2,3,2,Resources available,,
Participant 827,6/6/2025,Summer School Training for Teachers of PreK ,Claudia,Elementary ,self-content,Campus P,4,4,4,4,4,assessment and progresses report ,"Very specific ,good",
Participant 918,6/6/2025,Teacher  Summer School GK Curriculum  ,Randy,Elementary ,self Conteten,Campus P,5,4,4,5,4,Internalization lesson ,Very good,
Participant 977,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Elementary ,Mathematics,Campus P,5,5,4,5,5,Align the zearn lesson with HISD current lesson,NA,
Participant 943,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Morris,Middle ,ELAR/English,Campus N,5,5,5,5,5,Amplify Boost will help further student learning,Thank you so much,
Participant 973,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Chelly,Middle ,ELAR/English,Campus N,5,5,5,5,5,Correctly using Amera,,
Participant 767,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Tevin,Middle ,ELAR/English,Campus N,5,5,5,5,5,Amira Training,Great Presentation,
Participant 615,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Mathematics,Campus V,4,5,4,4,4,Use of OnTrack for Assesments,N/A,
Participant 582,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Science,Campus V,5,5,5,5,5,Unit Overview,,
Participant 587,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Chelly,High,Science,Campus V,5,5,5,5,5,DOL,Great session,
Participant 598,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,ELAR/English,Campus V,5,5,5,5,5,Doing the DOL on OnTrack ,,
Participant 622,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,ELAR/English,Campus V,5,5,5,5,5,Doing the DOL on OnTrack,,
Participant 623,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,ALL SUBJECTS- SPED CO-TEACHER,Campus V,3,3,3,4,4,Everything,None,
Participant 716,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Science,Campus V,5,5,5,5,5,DOL’s on OnTrack,Informative Session ,
Participant 874,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,ELAR/English,Campus V,3,3,3,3,3,LSAE,,
Participant 885,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,ELAR/English,Campus V,5,5,5,4,4,Very informative and easily accessible..,Very supportive and patiently answered the questions..,
Participant 889,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Mathematics,Campus V,5,5,5,5,5,Use resources to deliver the lesson aligned with dol,,
Participant 890,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Teacher Apprentice ,Campus V,3,3,3,3,3,N/A,,
Participant 910,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Mathematics,Campus V,4,4,4,4,4,Curriculum training ,,
Participant 916,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,ELAR/English,Campus V,4,5,4,5,5,LSAE schedule ,,
Participant 680,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Andi,Elementary ,ELAR/English,Campus P,5,5,5,5,5,Amira,,
Participant 1028,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Chelly,Elementary ,ELAR/English,Campus P,4,3,3,4,3,Digital resources ,,
Participant 1029,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Chelly,Elementary ,Mathematics,Campus P,4,4,4,4,5,General resources ,,
Participant 790,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Elementary ,Mathematics,Campus P,5,5,5,5,5,Importance of implementing Zearn lesson,,
Participant 667,6/6/2025,Teacher  Summer School G1 and G2 Curriculum,Bre,Elementary ,Teacher apprentice ,Campus R,4,4,4,4,4,How to access the slide decks and Amira ,,
Participant 686,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Andi,Elementary ,ELAR/English,Campus R,4,4,4,4,5,amira,,
Participant 778,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Elementary ,Mathematics,Campus R,5,5,5,5,5,Digital resources ,Thank you,
Participant 1012,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Elementary ,Social Studies,Campus R,4,4,4,4,4,Zearn will support the students with math.,,
Participant 723,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Middle ,ELAR/English,Campus N,5,5,5,5,5,The benefits of Amplify ,,
Participant 571,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Mathematics,Campus W,5,5,5,5,5,Tracking students data to ensure that students are on track,,
Participant 585,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Mathematics,Campus W,3,3,3,3,3,Everything provided on Canvas,,
Participant 613,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,ELAR/English,Campus W,5,5,5,5,5,Accelerated learning ,,
Participant 884,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Social Studies,Campus W,5,5,5,5,5,Unit overview ,None,
Participant 892,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Science,Campus W,4,4,4,4,4,Schedule and how to access the assessments ontrack,NA,
Participant 896,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,ELAR/English,Campus W,5,5,5,4,4,I learned that there are different summer school sessions based on student's needs (If a student failed first semester then they will be learning material from S1 and if a student failed the second semester they will learn material from S2),,
Participant 913,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Sped ,Campus W,3,1,3,3,3,N/a,,
Participant 606,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Mathematics,Campus W,5,5,5,5,5,"Teacher's are advised to take one grade a week, an average of all the DOL's for the week. This will not only help with shortening the grading but emphasizing the importance to taking every DOL seriously to showcase mastery and growth.",None,
Participant 616,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,ELAR/English,Campus W,5,5,5,5,5,How to internalize the lessons and using padlet ,,
Participant 715,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Chelly,High,Science,Campus W,5,5,5,5,5,Pre Made Cirriculum,,
Participant 825,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,All,Campus W,5,5,5,5,5,I learned how to navigate through the curriculum modules.,Great continuity between regular school and summer school. I like how you explained the tweeks.,
Participant 864,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,ELAR/English,Campus W,5,5,5,5,5,I am now enrolled in the summer curriculum. ,,
Participant 881,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,ELAR/English,Campus W,4,4,4,4,4,understanding materials,,
Participant 898,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Social Studies,Campus W,5,5,5,5,5,CANVAS access to Summer S1 & S2 ,Thanks!,
Participant 899,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,ELAR/English,Campus W,5,5,5,5,5,The schedule and how to access the curriculum ,,
Participant 905,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Summer School,Campus W,4,3,4,4,5,Content resources.,Thank you!,
Participant 725,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,High,Social Studies,Campus W,5,5,5,5,3,How Boost will help the children while entertaining them.,,
Participant 591,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Grad Lab,Campus W,5,5,5,5,5,The scaffolding tools available for students. ,,
Participant 674,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Andi,High,Co-teacher,Campus W,5,5,5,5,5,We must focus and keep in mind that the lessons are for summer school - limited time for each lesson.,Nothing additional!,
Participant 704,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Elementary ,Reading Success,Campus R,5,5,5,5,5,Amira Program to increase stydent achievement in reading.,Good training!,
Participant 641,6/6/2025,Teacher  Summer School G1 and G2 Curriculum,Bre,Elementary ,ELAR/English,Campus R,5,5,5,5,5,Zearn,,
Participant 670,6/6/2025,Teacher  Summer School G1 and G2 Curriculum,Mary,Elementary ,Science,Campus R,5,5,5,5,5,"Facilitators guided us in accessing canvas for slide decks, zearn and amira.",Thank you,
Participant 743,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Elementary ,Art of Thinking,Campus R,5,5,5,5,5,Overall curriculum ,,
Participant 965,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Chelly,Elementary ,Science,Campus R,4,4,4,4,4,Tracking student performance ,,
Participant 999,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Elementary ,Science,Campus R,5,5,5,5,4,I learned that I will be teaching 4th grade Science for 60 minutes and Zearn for 30 minutes each day.,Thank you for the helpful information.,
Participant 994,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Middle ,Mathematics,Campus N,5,5,5,5,5,It is important to document the hours for students who must earn HB hours,,
Participant 726,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Middle ,ELAR/English,Campus N,5,5,5,5,5,NAVIGATING BOOST WAS INFORMATIVE,,
Participant 719,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Middle ,ELAR/English,Campus N,5,5,5,5,5,Layout of summer school,,
Participant 957,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Middle ,Mathematics,Campus N,5,5,5,5,5,Zearn has more support - anchor charts,,
Participant 946,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Morris,Middle ,ELAR/English,Campus N,5,5,5,5,5,NES format,,
Participant 718,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Middle ,Social Studies,Campus Q,5,5,5,5,5,The Boost program ,,
Participant 886,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Social Studies,Campus W,3,3,3,5,5,1 grade per week,,
Participant 584,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Mathematics,Campus X,3,3,4,4,4,Refreshed in using the unit overview to help plan ahead ,,
Participant 592,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Mathematics,Campus X,5,5,5,5,5,NA,NA,
Participant 595,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Grad Lab,Campus X,5,5,5,5,5,Accessing resources,Thank you!,
Participant 597,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,ELAR/English,Campus X,5,5,5,5,5,Teacher Notes Recommendations:  Allow students to review their paragraphs and identify the types of sentences.  Encourage students to change and/or combine sentences to provide sentence variety ,great resources,
Participant 601,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,ELAR/English,Campus X,5,5,5,4,5,The use of DOL,,
Participant 603,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Social Studies,Campus X,4,4,4,4,4,The ability to use slide decks to accelerate student learning,,
Participant 639,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Teacher apprentice ,Campus X,5,5,5,5,5,"Use padlet for instructions, make sure you internalize your lesson ",,
Participant 895,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Science,Campus X,3,4,4,5,5,Dol,,
Participant 1114,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,ELAR/English,Campus X,3,3,3,3,3,Accessing the content materials ,,
Participant 618,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Science,Campus X,5,5,5,5,5,The Padlet is a great platform to stay in contact with other teachers ,N/A,
Participant 893,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,ELAR/English,Campus X,5,5,5,5,5,N/a,N/a,
Participant 791,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Middle ,Science,Campus Q,5,5,5,5,5,...,,
Participant 798,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Middle ,Mathematics,Campus Q,5,5,5,5,5,Zearn,,
Participant 801,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Middle ,Learning Coach,Campus Q,5,5,5,5,5,Zearn usage ,N/A,
Participant 814,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Middle ,Mathematics,Campus Q,4,4,4,4,4,Zearn - Enrichment ,,
Participant 959,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Middle ,Mathematics,Campus Q,5,5,5,5,5,zearn usage,,
Participant 745,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Middle ,ELAR/English,Campus Q,5,5,5,5,5,"Understanding the different resources, I have available to myself and students.",,
Participant 671,6/6/2025,Teacher  Summer School G1 and G2 Curriculum,Bre,Elementary ,ELAR/English,Campus L,5,5,5,5,5,using amir,this was very helpful,
Participant 772,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Elementary ,Mathematics,Campus L,4,5,5,4,5,Monitor progress daily,N/A,
Participant 961,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Elementary ,Mathematics,Campus L,4,4,4,4,4,Zearn will be used daily. ,,
Participant 1022,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Elementary ,Mathematics,Campus L,4,5,5,4,5,Intervention and keeping track daily so that we don’t lose that data,,
Participant 655,6/6/2025,Teacher  Summer School G1 and G2 Curriculum,Mary,Elementary ,Summer School Curriculum Session ,Campus L,5,5,5,5,5,I was able to enroll in the summer school curriculum on canvas and learned how to use the slide decks and resources. I also learned about Zern and Amira and how to track student progress. ,"This was very helpful and informational, thank you. ",
Participant 661,6/6/2025,Teacher  Summer School G1 and G2 Curriculum,Bre,Elementary ,SLA,Campus L,5,5,5,5,5,The curriculum is provided with activities ready to support students' instruction,,
Participant 702,6/6/2025,Teacher  Summer School G1 and G2 Curriculum,Mary,Elementary ,Learning Coach,Campus L,5,5,5,5,5,Excellent informations,Thanks,
Participant 711,6/6/2025,Teacher  Summer School G1 and G2 Curriculum,Mary,Elementary ,Self Contained,Campus L,5,5,4,5,5,"Small Groups and one to one, When we see students struggling in Zearn and Amira ",Thank you ,
Participant 747,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Tevin,Elementary ,Teacher apprentice ,Campus L,5,5,5,5,5, zearn is daily ,,
Participant 765,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Elementary ,Self contained,Campus L,5,5,5,5,5,Amira administration and support.,,
Participant 768,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Tevin,Elementary ,Science,Campus L,5,5,5,5,5,Students knowing when to read while using Amira,,
Participant 770,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Elementary ,Teacher Apprentice 3-8,Campus L,5,5,5,5,5,Amira Learning,excellent information ,
Participant 818,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Elementary ,Zearn/Amira,Campus L,5,5,5,5,5,instructions today will allow me to support students better with zearn and amira,na,
Participant 987,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Elementary ,Reading Academies,Campus L,5,5,5,5,5,Learn about Amira,Thanks,
Participant 609,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Science,Campus X,4,4,4,5,3,the schedule is clear,Thank you,
Participant 663,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Mathematics,Campus X,5,5,5,5,5,utilizing district aides. ,,
Participant 926,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Morris,Middle ,ELAR/English,Campus Q,5,4,4,4,4,How to differentiate amplify during intervention time ,,
Participant 927,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Morris,Middle ,ELAR/English,Campus Q,4,4,3,4,4,Dail DOL score,,
Participant 937,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Morris,Middle ,ELAR/English,Campus Q,5,5,5,5,5,How to support instruction during boost,,
Participant 586,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Juan,Elementary ,Summer School Curriculum Overview,Campus L,5,5,5,5,5,Data Tracking APP,,
Participant 939,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Morris,Middle ,ELAR/English,Campus Q,5,5,4,5,5,Make sure there is a 4:1 ratio for intervention and we will be using Amplify Boost.,Thank you!,
Participant 949,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Morris,Middle ,Social Studies,Campus Q,5,5,5,5,5,Amplify boost,,
Participant 797,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Elementary ,Science,Campus J,5,4,4,4,4, Being able to effectively use Zearn as a resource for the kids.  It will help me to check for understanding.,,
Participant 996,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Elementary ,ELAR/English,Campus J,4,4,4,4,5,accessing DOLs ,,
Participant 984,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Middle ,Science,Campus Q,5,5,5,5,5,Tracking during Zean. This will help me support the struggling students.,,
Participant 970,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Elementary ,Mathematics,Campus J,5,5,5,5,5,Track progress ,,
Participant 799,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Middle ,Math Success,Campus Q,5,5,4,5,5,The format of the Classes ,,
Participant 551,6/6/2025,Summer School Training for Teachers of PreK ,Claudia,Elementary ,ECC Summer School,Campus J,5,5,5,5,5,ECC Material,,
Participant 554,6/6/2025,Summer School Training for Teachers of PreK ,Claudia,Elementary ,Summer school,Campus J,4,4,4,4,4,Strong engagement with small group instruction,,
Participant 696,6/6/2025,Teacher  Summer School GK Curriculum  ,Kim,Elementary ,ELAR/English,Campus J,4,4,4,4,4,Internalize lesson,,
Participant 697,6/6/2025,Teacher  Summer School GK Curriculum  ,Kim,Elementary ,ELAR/English,Campus J,4,4,5,5,5,Summit K-12,,
Participant 857,6/6/2025,Summer School Training for Teachers of PreK ,Claudia,Elementary ,Prek ,Campus J,5,5,5,5,5,CLP,,
Participant 867,6/6/2025,Summer School Training for Teachers of PreK ,Claudia,Elementary ,PK Summer School,Campus J,3,4,4,3,3,My Math Academy digital resource ,,
Participant 698,6/6/2025,Teacher  Summer School GK Curriculum  ,Kim,Elementary ,Summer school,Campus J,5,5,5,5,5,Summit how to navigate ,Internalize the lesson an align to assessment ,
Participant 858,6/6/2025,Summer School Training for Teachers of PreK ,Randy,Elementary ,Pre k summer school ,Campus J,3,3,3,3,3,Print out resources for small group,Need to print out resources for a small,
Participant 861,6/6/2025,Summer School Training for Teachers of PreK ,Claudia,Elementary ,Pre k summer school curriculum ,Campus J,5,5,5,5,5,Blue for English red for Spanish ,Would be nice having planning time,
Participant 683,6/6/2025,Summer School Training for Teachers of PreK ,Dana,Elementary ,ELAR/English,Campus I,5,5,5,5,5,Lesson internalization ,,
Participant 707,6/6/2025,Teacher  Summer School GK Curriculum  ,Kim,Elementary ,ELAR/English,Campus I,5,5,5,5,5,NA,NA,
Participant 921,6/6/2025,Summer School Training for Teachers of PreK ,Randy,Elementary ,Science of Reading,Campus I,5,5,5,5,5,Thank you,Thank you,
Participant 911,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Social Studies,Campus Y,5,5,5,5,5,Lsae ,,
Participant 568,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Learning Coach ,Campus Y,4,4,4,4,4,DOL grading process,,
